ray_index,p1_x,p1_y,p2_x,p2_y,brightness_s,brightness_p,brightness_total,wavelength,gap,length
0,272.0000,4.0000,254.9302,17.4120,0.500000,0.500000,1.000000,,True,21.7085
1,254.9302,17.4120,10129.0261,-1564.4322,0.021793,0.018277,0.040071,,False,10000.0000
2,254.9302,17.4120,188.4636,61.0000,0.478207,0.481723,0.959929,,False,79.4841
3,188.4636,61.0000,172.2066,71.6612,0.478207,0.481723,0.959929,,False,19.4409
4,172.2066,71.6612,203.5185,61.0000,0.020071,0.018340,0.038411,,False,33.0771
5,172.2066,71.6612,-7823.9809,6076.7411,0.458136,0.463382,0.921518,,False,10000.0000
6,203.5185,61.0000,264.8622,40.1136,0.020071,0.018340,0.038411,,False,64.8019
7,264.8622,40.1136,9859.0502,-2779.7370,0.019251,0.017623,0.036873,,False,10000.0000
