ray_index,p1_x,p1_y,p2_x,p2_y,brightness_s,brightness_p,brightness_total,wavelength,gap,length
59,0.0000,300.0000,6211.4778,-7536.9346,0.500000,0.500000,1.000000,,False,10000.0000
60,0.0000,300.0000,5877.8525,-7790.1699,0.500000,0.500000,1.000000,,False,10000.0000
61,0.0000,300.0000,5533.9155,-8029.2124,0.500000,0.500000,1.000000,,False,10000.0000
62,0.0000,300.0000,5180.2701,-8253.6426,0.500000,0.500000,1.000000,,False,10000.0000
63,0.0000,300.0000,4817.5367,-8463.0668,0.500000,0.500000,1.000000,,False,10000.0000
64,0.0000,300.0000,4446.3518,-8657.1176,0.500000,0.500000,1.000000,,False,10000.0000
65,0.0000,300.0000,4067.3664,-8835.4546,0.500000,0.500000,1.000000,,False,10000.0000
66,0.0000,300.0000,3681.2455,-8997.7649,0.500000,0.500000,1.000000,,False,10000.0000
67,0.0000,300.0000,3288.6665,-9143.7637,0.500000,0.500000,1.000000,,False,10000.0000
68,0.0000,300.0000,2890.3180,-9273.1950,0.500000,0.500000,1.000000,,False,10000.0000
69,0.0000,300.0000,2486.8989,-9385.8316,0.500000,0.500000,1.000000,,False,10000.0000
70,0.0000,300.0000,2079.1169,-9481.4760,0.500000,0.500000,1.000000,,False,10000.0000
71,0.0000,300.0000,1667.6875,-9559.9604,0.500000,0.500000,1.000000,,False,10000.0000
72,0.0000,300.0000,1253.3323,-9621.1470,0.500000,0.500000,1.000000,,False,10000.0000
73,0.0000,300.0000,836.7784,-9664.9286,0.500000,0.500000,1.000000,,False,10000.0000
74,0.0000,300.0000,418.7565,-9691.2283,0.500000,0.500000,1.000000,,False,10000.0000
75,0.0000,300.0000,-0.0000,-9700.0000,0.500000,0.500000,1.000000,,False,10000.0000
76,0.0000,300.0000,-418.7565,-9691.2283,0.500000,0.500000,1.000000,,False,10000.0000
77,0.0000,300.0000,-836.7784,-9664.9286,0.500000,0.500000,1.000000,,False,10000.0000
78,0.0000,300.0000,-1253.3323,-9621.1470,0.500000,0.500000,1.000000,,False,10000.0000
79,0.0000,300.0000,-1667.6875,-9559.9604,0.500000,0.500000,1.000000,,False,10000.0000
80,0.0000,300.0000,-2079.1169,-9481.4760,0.500000,0.500000,1.000000,,False,10000.0000
81,0.0000,300.0000,-2486.8989,-9385.8316,0.500000,0.500000,1.000000,,False,10000.0000
82,0.0000,300.0000,-2890.3180,-9273.1950,0.500000,0.500000,1.000000,,False,10000.0000
83,0.0000,300.0000,-3288.6665,-9143.7637,0.500000,0.500000,1.000000,,False,10000.0000
84,0.0000,300.0000,-3681.2455,-8997.7649,0.500000,0.500000,1.000000,,False,10000.0000
85,0.0000,300.0000,-4067.3664,-8835.4546,0.500000,0.500000,1.000000,,False,10000.0000
86,0.0000,300.0000,-4446.3518,-8657.1176,0.500000,0.500000,1.000000,,False,10000.0000
87,0.0000,300.0000,-4817.5367,-8463.0668,0.500000,0.500000,1.000000,,False,10000.0000
88,0.0000,300.0000,-5180.2701,-8253.6426,0.500000,0.500000,1.000000,,False,10000.0000
89,0.0000,300.0000,-5533.9155,-8029.2124,0.500000,0.500000,1.000000,,False,10000.0000
