ray_index,p1_x,p1_y,p2_x,p2_y,brightness_s,brightness_p,brightness_total,wavelength,gap,length
251,220.9441,267.3868,165.6788,241.4123,0.009366,0.003767,0.013134,,False,61.0650
252,229.1080,292.7389,300.0000,172.8862,0.006867,0.003441,0.010308,,False,139.2492
253,232.8908,311.7486,300.0000,321.7076,0.007930,0.003146,0.011077,,False,67.8441
254,234.1648,322.1638,300.0000,371.6688,0.011794,0.000057,0.011851,,False,82.3712
255,234.6014,327.4641,191.4824,358.3578,0.010714,0.000005,0.010719,,False,53.0440
256,234.6014,327.4641,300.0000,400.1390,0.011041,0.000394,0.011435,,False,97.7682
257,234.9610,334.4559,300.0000,451.8265,0.022613,0.011497,0.034110,,False,134.1861
258,235.0562,344.0276,200.6864,372.9001,0.015361,0.001965,0.017326,,False,44.8878
259,235.0562,344.0276,2048.4197,10178.2389,0.015400,0.008082,0.023482,,False,10000.0000
260,234.3998,357.6607,206.5861,380.9533,0.033982,0.008139,0.042121,,False,36.2788
261,167.5633,226.3856,-8507.9902,-4747.0208,0.018421,0.016927,0.035348,,False,10000.0000
262,165.6788,241.4123,-7907.5613,-5659.6719,0.008809,0.003677,0.012485,,False,10000.0000
263,191.4824,358.3578,-7632.7145,6585.8728,0.010272,0.000005,0.010277,,False,10000.0000
264,200.6864,372.9001,-7152.7305,7149.8656,0.014731,0.001888,0.016620,,False,10000.0000
265,206.5861,380.9533,-7330.2153,6953.3673,0.032616,0.007815,0.040431,,False,10000.0000
